timeOpen,Date,timeHigh,timeLow,name,open,high,low,Close,volume,marketCap,timestamp
10/31/21 10:00,2021-11-30T23:59:59.999Z,11/12/21 23:26,11/12/21 22:14,2781,4288.2174700000,4891.7046980000,3933.5064910000,4631.4787950000,573546775950.74,549085770690.68,2021-11-30T23:59:59.999Z
9/30/21 10:00,2021-10-31T23:59:59.999Z,10/14/21 8:06,10/2/21 13:48,2781,3001.1293060000,4455.7353970000,2978.6544150000,4288.0744520000,574798465421.65,506663636947.23,2021-10-31T23:59:59.999Z
8/31/21 10:00,2021-09-30T23:59:59.999Z,9/4/21 10:34,9/16/21 19:20,2781,3430.76234300,4022.46936000,2676.407415000,3001.6790520000,653984909752.41,353421264860.04,2021-09-30T23:59:59.999Z
7/31/21 10:00,2021-08-31T23:59:59.999Z,2021-08-31T14:03:46.000Z,8/8/21 13:02,2781,2530.46279200,3466.9922830,2449.35353600,3433.73278100,750207704161.75,402902770209.73,2021-08-31T23:59:59.999Z
6/30/21 10:00,2021-07-31T23:59:59.999Z,7/23/21 1:36,7/13/21 11:23,2781,2274.39751800,2551.16108400,1722.05078100,2536.21003500,629953496176.39,296532997873.12,2021-07-31T23:59:59.999Z
5/31/21 10:00,2021-06-30T23:59:59.999Z,6/4/21 6:13,6/12/21 7:56,2781,2707.56059600,2891.254971,1707.60059500,2274.54771300,813523116982.16,265001225920.83,2021-06-30T23:59:59.999Z
4/30/21 10:00,2021-05-31T23:59:59.999Z,5/8/21 4:27,5/12/21 20:42,2781,2772.83830300,4362.3505420,1737.46874800,2714.94534400,1510329786012.79,315217277482.81,2021-05-31T23:59:59.999Z
3/31/21 10:00,2021-04-30T23:59:59.999Z,4/15/21 4:52,4/3/21 18:22,2781,1919.15728400,2797.97238500,1912.17840800,2773.20713200,995334204883.77,320822874720.79,2021-04-30T23:59:59.999Z
2/28/21 10:00,2021-03-31T23:59:59.999Z,3/16/21 23:35,3/24/21 10:07,2781,1417.15114300,1947.83775300,1416.41618500,1918.36206100,730832219124.48,221151811159.17,2021-03-31T23:59:59.999Z
1/31/21 10:00,2021-02-28T23:59:59.999Z,3/4/21 11:28,2/18/21 10:30,2781,1314.85528300,2036.28649300,1274.35775500,1416.0489060,1007718046120.15,162650415374.44,2021-02-28T23:59:59.999Z
12/31/20 10:00,2021-01-31T23:59:59.999Z,1/27/21 10:52,1/17/21 21:15,2781,737.70837800,1467.78494200,718.10951700,1314.9862290,2224801390350.97,150543956657.31,2021-01-31T23:59:59.999Z
11/30/20 10:00,2020-12-31T23:59:59.999Z,2020-12-30T21:20:35.000Z,12/19/20 2:39,2781,615.07032500,754.30323400,532.99842800,737.80339800,470673397124.97,84156810764.81,2020-12-31T23:59:59.999Z
10/31/20 10:00,2020-11-30T23:59:59.999Z,11/27/20 8:55,11/16/20 10:34,2781,386.5903380,621.17342000,371.31273800,614.84252200,507753255879.57,69873714778.48,2020-11-30T23:59:59.999Z
